;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
N°Référence ;Désignation;Catégorie;Conditionnement;Qté/Conditionnement;Dosage;Stock critique;Stock initial;Stock actuel;Statut du stock;Prix d'achat unitaire;Valeur en stock;Prix de vente unitaire;Date Stock Initial;Date de péremption;Alerte de péremption;Lot stock initial;_SearchKey;;;;
;Pelettes croissances de chaires sac/50kg;Aliments de ferme;sac;1;50kg.;2;;;Approvisionnement urgent!;26,14 USD;;30,00 USD;;;;;pelet-alim-50kg.|pelettes croissances de chaires sac/50kg|approvisionnement urgent!;;;;
;Pelettes croissances de chaires kg;Aliments de ferme;sachet;1;kg.;10;;;Approvisionnement urgent!;0,53 USD;;0,89 USD;;;;;pelet-alim-kg.|pelettes croissances de chaires kg|approvisionnement urgent!;;;;
;Pelettes demarages de chaires sac/50kg;Aliments de ferme;sac;1;50kg;2;;;Approvisionnement urgent!;24,43 USD;;32,00 USD;;;;;pelet-alim-50kg|pelettes demarages de chaires sac/50kg|approvisionnement urgent!;;;;
;Pelettes demarages de chaires kg;Aliments de ferme;sachet;1;kg;10;;;Approvisionnement urgent!;0,47 USD;;0,89 USD;;;;;pelet-alim-kg|pelettes demarages de chaires kg|approvisionnement urgent!;;;;
;Oxytocin;Produits vétérinaires;flacon;1;100ml;6;;;Approvisionnement urgent!;3,93 USD;;6,00 USD;;;Bon état;;oxyto-prod-100ml|oxytocin|approvisionnement urgent!;;;;
;Oxytetracycline poudre;Produits vétérinaires;sachet;1;100gr;6;;;Niveau satisfaisant;2,56 USD;;6,00 USD;;;Bon état;;oxyte-prod-100gr|oxytetracycline poudre|approvisionnement urgent!;;;;
;Oxytetracycline 30%;Produits vétérinaires;flacon;1;100ml….;6;;;Approvisionnement urgent!;4,83 USD;;6,00 USD;;;;;oxyte-prod-100ml….|oxytetracycline 30%|approvisionnement urgent!;;;;
;Oxytetracycline Europe 20%;Produits vétérinaires;flacon;1;..100ml;6;;;Approvisionnement urgent!;3,96 USD;;5,00 USD;;;Bon état;;oxyte-prod-..100ml|oxytetracycline europe 20%|approvisionnement urgent!;;;;
;Oxytetracycline Chine 20%;Produits vétérinaires;flacon;1,16;.100ml;6;;;Niveau satisfaisant;1,16 USD;;3,50 USD;;;Bon état;;oxyte-prod-.100ml|oxytetracycline chine 20%|approvisionnement urgent!;;;;
;Oxytetracycline Europe 10%;Produits vétérinaires;flacon;1;100ml..;6;;;Niveau satisfaisant;2,50 USD;;4,00 USD;;;Bon état;;oxyte-prod-100ml..|oxytetracycline europe 10%|approvisionnement urgent!;;;;
;Oxytetracycline Chine10%;Produits vétérinaires;flacon;1;100ml.;6;;;Approvisionnement urgent!;0,94 USD;;3,00 USD;;;;;oxyte-prod-100ml.|oxytetracycline chine10%|approvisionnement urgent!;;;;
;Oxytetracycline 5%;Produits vétérinaires;flacon;1;100ml;6;;;Approvisionnement urgent!;0,79 USD;;2,80 USD;;;;;oxyte-prod-100ml|oxytetracycline 5%|approvisionnement urgent!;;;;
;Oxychlorure de cuivre 100gr;fongicides agricole;sachet;1;100gr;3;;;Approvisionnement urgent!;1,80 USD;;2,50 USD;;;;;oxych-fong-100gr|oxychlorure de cuivre 100gr|approvisionnement urgent!;;;;
;Oxychlorure de cuivre 250gr;fongicides agricole;sachet;1;250gr;3;;;Niveau satisfaisant;2,70 USD;;3,00 USD;;;Bon état;;oxych-fong-250gr|oxychlorure de cuivre 250gr|approvisionnement urgent!;;;;
;Oxychlorure de cuivre 1kg;fongicides agricole;sachet;1;kg;3;;;Approvisionnement urgent!;7,00 USD;;12,00 USD;;;;;oxych-fong-kg|oxychlorure de cuivre 1kg|approvisionnement urgent!;;;;
;Oxy spray (Chine);Produits vétérinaires;tube;1;tube.;3;;;Niveau satisfaisant;3,36 USD;;6,00 USD;;;Bon état;;oxy s-prod-tube.|oxy spray (chine)|approvisionnement urgent!;;;;
;Oxy spray (Alamycin);Produits vétérinaires;tube;1;tube;3;;;Niveau satisfaisant;3,60 USD;;6,00 USD;;;Bon état;;oxy s-prod-tube|oxy spray (alamycin)|approvisionnement urgent!;;;;
;Opticlox;Produits vétérinaires;tube;1;20gr;3;;;Approvisionnement urgent!;1,70 USD;;3,00 USD;;;Bon état;;optic-prod-20gr|opticlox|approvisionnement urgent!;;;;
;Okra 10gr (Dongodogo) 10gr;Semences;sachet;1;10gr;3;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;;okra -seme-10gr|okra 10gr (dongodogo) 10gr|approvisionnement urgent!;;;;
;Okra (Dongodogo) bte/50gr;Semences;boite;1;50gr;3;;;Approvisionnement urgent!;1,90 USD;;3,50 USD;;;;;okra -seme-50gr|okra (dongodogo) bte/50gr|approvisionnement urgent!;;;;
;"Oignon rouge 250gr ""Bombay Red""";Semences;boite;1;250gr.;3;;;Approvisionnement urgent!;7,00 USD;;13,00 USD;;;Bon état;;"oigno-seme-250gr.|oignon rouge 250gr ""bombay red""|approvisionnement urgent!";;;;
;"Oignon rouge 250gr ""Red Creole""";Semences;boite;1;250gr;3;;;Approvisionnement urgent!;9,00 USD;;15,00 USD;;;;;"oigno-seme-250gr|oignon rouge 250gr ""red creole""|approvisionnement urgent!";;;;
;Oignon sachet original;Semences;sachet;1;original.;5;;;Approvisionnement urgent!;0,60 USD;;3,00 USD;;;;;oigno-seme-original.|oignon sachet original|approvisionnement urgent!;;;;
;Oignon rouge 10gr;Semences;sachet;1;10gr.;5;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;Lot-Initial-OIGNO-SEME-10gr.-01012025;oigno-seme-10gr.|oignon rouge 10gr|approvisionnement urgent!;;;;
;Oignon rouge 50gr;Semences;boite;1;50gr.;5;;;Niveau satisfaisant;3,20 USD;;5,00 USD;;;Bon état;;oigno-seme-50gr.|oignon rouge 50gr|approvisionnement urgent!;;;;
;Oignon blanc sachet original/10gr;Semences;sachet;1;original;5;;;Niveau satisfaisant;1,30 USD;;3,00 USD;;;Bon état;;oigno-seme-original|oignon blanc sachet original/10gr|approvisionnement urgent!;;;;
;Oignon blanc 10gr;Semences;sachet;1;10gr;5;;;Approvisionnement urgent!;0,48 USD;;0,80 USD;;;;;oigno-seme-10gr|oignon blanc 10gr|approvisionnement urgent!;;;;
;Oignon blanc 50gr;Semences;boite;1;50gr;5;;;Approvisionnement urgent!;3,30 USD;;6,00 USD;;;Bon état;;oigno-seme-50gr|oignon blanc 50gr|approvisionnement urgent!;;;;
;Oeufs feconcés;Produits vétérinaires;pce;1;pce;6;;;Approvisionnement urgent!;0,34 USD;;0,41 USD;;;;;oeufs-prod-pce|oeufs feconces|approvisionnement urgent!;;;;
;Œstrogène;Produits vétérinaires;flacon;1;2ml;3;;;Approvisionnement urgent!;0,68 USD;;3,00 USD;;;;;œstro-prod-2ml|œstrogene|approvisionnement urgent!;;;;
;Novalgine;Produits vétérinaires;flacon;1;100ml;6;;;Niveau satisfaisant;1,60 USD;;6,00 USD;;;Bon état;;noval-prod-100ml|novalgine|approvisionnement urgent!;;;;
;Nilzan bolus;Produits vétérinaires;bolus;1;bolus;10;;;Niveau satisfaisant;0,23 USD;;0,70 USD;;;Bon état;;nilza-prod-bolus|nilzan bolus|approvisionnement urgent!;;;;
;Aliseryl poudre sachet/5gr;Produits vétérinaires;sachet;1;5gr;10;;;Niveau satisfaisant;0,10 USD;;0,25 USD;;;Bon état;;alise-prod-5gr|aliseryl poudre sachet/5gr|approvisionnement urgent!;;;;
;Aliseryl poudre sachet/100gr;Produits vétérinaires;sachet;1;100gr;10;;;Niveau satisfaisant;3,04 USD;;7,00 USD;;;Bon état;;alise-prod-100gr|aliseryl poudre sachet/100gr|approvisionnement urgent!;;;;
;N.P.K 17-17-17 sac/50kg;Engrais granulés;sac;1;50kg;2;;;Niveau satisfaisant;50,00 USD;;65,00 USD;;;Bon état;;n.p.k-engr-50kg|n.p.k 17-17-17 sac/50kg|approvisionnement urgent!;;;;
;N.P.K 17-17-17 sachet/1kg;Engrais granulés;sachet;1;kg;10;;;Niveau satisfaisant;1,00 USD;;1,40 USD;;;Bon état;Lot-Initial-N.P.K-ENGR-kg-02012026;n.p.k-engr-kg|n.p.k 17-17-17 sachet/1kg|approvisionnement urgent!;;;;
;Ngai-Ngai sachet/10gr;Semences;sachet;1;10gr;5;;;Approvisionnement urgent!;0,48 USD;;0,80 USD;;;Bon état;;ngai--seme-10gr|ngai-ngai sachet/10gr|approvisionnement urgent!;;;;
;Muselière petit cuir pr chiens;Produits vétérinaires;pce;1;…pce;2;;;Approvisionnement urgent!;5,00 USD;;10,00 USD;;;;;musel-prod-…pce|museliere petit cuir pr chiens|approvisionnement urgent!;;;;
;Muselière moyen cuir pr chiens;Produits vétérinaires;pce;1;.pce;2;;;Approvisionnement urgent!;8,00 USD;;12,00 USD;;;;;musel-prod-.pce|museliere moyen cuir pr chiens|approvisionnement urgent!;;;;
;Muselière grand cuir pr chiens;Produits vétérinaires;pce;1;pce;2;;;Approvisionnement urgent!;10,00 USD;;15,00 USD;;;;;musel-prod-pce|museliere grand cuir pr chiens|approvisionnement urgent!;;;;
;Multivitamine bolus;Produits vétérinaires;bolus;1;bolus;10;;;Niveau satisfaisant;0,15 USD;;0,70 USD;;;Bon état;;multi-prod-bolus|multivitamine bolus|approvisionnement urgent!;;;;
;Multivitamine Europe injectable;Produits vétérinaires;flacon;1;.100ml;6;;;Niveau satisfaisant;3,03 USD;;6,00 USD;;;Bon état;;multi-prod-.100ml|multivitamine europe injectable|approvisionnement urgent!;;;;
;Multivitamine Chine injectable;Produits vétérinaires;flacon;1;100ml;6;;;Niveau satisfaisant;1,20 USD;;3,50 USD;;;Bon état;;multi-prod-100ml|multivitamine chine injectable|approvisionnement urgent!;;;;
;Morelle sachet 10gr;Semences;sachet;1;10gr;4;;;Approvisionnement urgent!;0,48 USD;;0,80 USD;;;Bon état;;morel-seme-10gr|morelle sachet 10gr|approvisionnement urgent!;;;;
;Methionine 1kg;Produits vétérinaires;sachet;1;kg;3;;;Approvisionnement urgent!;2,00 USD;;8,00 USD;;;;;methi-prod-kg|methionine 1kg|approvisionnement urgent!;;;;
;Meat booster Poule;Produits vétérinaires;sachet;1;kg;3;;;Niveau satisfaisant;0,51 USD;;3,00 USD;;;Bon état;;meat -prod-kg|meat booster poule|approvisionnement urgent!;;;;
;Maracouja sachet/10gr;outils aratoires;pce;1;pce;3;;;Approvisionnement urgent!;5,00 USD;;10,00 USD;;;;;marac-outi-pce|maracouja sachet/10gr|approvisionnement urgent!;;;;
;Mancozeb 80% WP sac/25kg;fongicides agricole;sac;1;25kg;3;;;Approvisionnement urgent!;100,00 USD;;125,00 USD;;;Bon état;;manco-fong-25kg|mancozeb 80% wp sac/25kg|approvisionnement urgent!;;;;
;Mancozeb 80% WP 1/2kg;fongicides agricole;sachet;1;500gr;3;;;Niveau satisfaisant;2,00 USD;;3,00 USD;;;Bon état;;manco-fong-500gr|mancozeb 80% wp 1/2kg|approvisionnement urgent!;;;;
;Mancozeb 80% WP 1kg;fongicides agricole;sachet;1;kg;3;;;Niveau satisfaisant;4,00 USD;;6,00 USD;;;Bon état;;manco-fong-kg|mancozeb 80% wp 1kg|approvisionnement urgent!;;;;
;Manche bistouris;Produits vétérinaires;pce;1;pce;3;;;Approvisionnement urgent!;1,99 USD;;3,00 USD;;;;;manch-prod-pce|manche bistouris|approvisionnement urgent!;;;;
;Mangeoire poussins 1kg;Produits vétérinaires;pce;1;..pce;3;;;Approvisionnement urgent!;2,50 USD;;5,00 USD;;;;;mange-prod-..pce|mangeoire poussins 1kg|approvisionnement urgent!;;;;
;Mangeoire PETIT;Produits vétérinaires;pce;1;.pce;3;;;Niveau satisfaisant;2,50 USD;;9,00 USD;;;Bon état;;mange-prod-.pce|mangeoire petit|approvisionnement urgent!;;;;
;Mangeoire poules adulte;Produits vétérinaires;pce;1;pce;3;;;Niveau satisfaisant;4,97 USD;;10,00 USD;;;Bon état;;mange-prod-pce|mangeoire poules adulte|approvisionnement urgent!;;;;
;Malathion 2% poudre;Insecticide agricole;flacon;1;2mg;3;;;Approvisionnement urgent!;0,92 USD;;3,00 USD;;;Bon état;;malat-inse-2mg|malathion 2% poudre|approvisionnement urgent!;;;;
;Mais semences Hybride;Semences;sachet;1;2kg;3;;;Approvisionnement urgent!;2,97 USD;;7,00 USD;;;;;mais -seme-2kg|mais semences hybride|approvisionnement urgent!;;;;
;Mais kg variété locale;Semences;sachet;1;kg;5;;;Approvisionnement urgent!;1,30 USD;;2,50 USD;;;;;mais -seme-kg|mais kg variete locale|approvisionnement urgent!;;;;
;Machettes;outils aratoires;pce;1;pce;2;;;Approvisionnement urgent!;2,00 USD;;3,00 USD;;;;;mache-outi-pce|machettes|approvisionnement urgent!;;;;
;Lysine 1kg;Produits vétérinaires;sachet;1;kg;3;;;Approvisionnement urgent!;2,00 USD;;10,00 USD;;;;;lysin-prod-kg|lysine 1kg|approvisionnement urgent!;;;;
;Lunette de protection;outils aratoires;pce;1;pce;3;;;Niveau satisfaisant;2,10 USD;;5,00 USD;;;Bon état;;lunet-outi-pce|lunette de protection|approvisionnement urgent!;;;;
;Limoxin poudre 100gr;Produits vétérinaires;sachet;1;100gr;5;;;Niveau satisfaisant;5,20 USD;;8,00 USD;;;Bon état;;limox-prod-100gr|limoxin poudre 100gr|approvisionnement urgent!;;;;
;Levacide;Produits vétérinaires;flacon;1;100ml;5;;;Niveau satisfaisant;3,13 USD;;6,00 USD;;;Bon état;;levac-prod-100ml|levacide|approvisionnement urgent!;;;;
;Lesse + collier de lux;Produits vétérinaires;pce;1;..pce;2;;;Niveau satisfaisant;13,00 USD;;20,00 USD;;;Bon état;;lesse-prod-..pce|lesse + collier de lux|approvisionnement urgent!;;;;
;Lesse gilet petit pour chiens;Produits vétérinaires;pce;1;.pce;2;;;Approvisionnement urgent!;4,78 USD;;15,00 USD;;;;;lesse-prod-.pce|lesse gilet petit pour chiens|approvisionnement urgent!;;;;
;Lesse gilet grand pour chiens;Produits vétérinaires;pce;1;pce;2;;;Niveau satisfaisant;8,00 USD;;25,00 USD;;;Bon état;;lesse-prod-pce|lesse gilet grand pour chiens|approvisionnement urgent!;;;;
;Lava 100ml;Insecticide agricole;flacon;1;100ml;15;;;Niveau satisfaisant;1,14 USD;;3,00 USD;;;Bon état;;lava -inse-100ml|lava 100ml|approvisionnement urgent!;;;;
;Lava 250ml;Insecticide agricole;flacon;1;250ml;6;;;Approvisionnement urgent!;2,27 USD;;5,00 USD;;;;;lava -inse-250ml|lava 250ml|approvisionnement urgent!;;;;
;Lava 500ml;Insecticide agricole;flacon;1;500ml;5;;;Approvisionnement urgent!;7,35 USD;;10,00 USD;;;;;lava -inse-500ml|lava 500ml|approvisionnement urgent!;;;;
;Lava 1litre;Produits vétérinaires;flacon;1;1litre;3;;;Approvisionnement urgent!;8,84 USD;;18,00 USD;;;;;lava -prod-1litre|lava 1litre|approvisionnement urgent!;;;;
;Lames bistouris;Produits vétérinaires;pce;1;pce;5;;;Approvisionnement urgent!;0,16 USD;;0,50 USD;;;;;lames-prod-pce|lames bistouris|approvisionnement urgent!;;;;
;Lacto-Mass;Produits vétérinaires;flacon;1;1litre;2;;;Approvisionnement urgent!;3,20 USD;;15,00 USD;;;Bon état;;lacto-prod-1litre|lacto-mass|approvisionnement urgent!;;;;
;Kuu-Kill 1litre;Insecticide agricole;flacon;1;1litre;3;;;Approvisionnement urgent!;7,56 USD;;18,00 USD;;;Bon état;;kuu-k-inse-1litre|kuu-kill 1litre|approvisionnement urgent!;;;;
;Kuu-Kill 250ml;Insecticide agricole;flacon;1;250ml;6;;;Niveau satisfaisant;2,09 USD;;6,00 USD;;;Bon état;;kuu-k-inse-250ml|kuu-kill 250ml|approvisionnement urgent!;;;;
;Kuu-Kill 100ml;Insecticide agricole;flacon;1;100ml;12;;;Niveau satisfaisant;0,87 USD;;2,50 USD;;;Bon état;;kuu-k-inse-100ml|kuu-kill 100ml|approvisionnement urgent!;;;;
;Kit enlève-poils  chiens & chat;Produits vétérinaires;pce;1;pce;2;;;Approvisionnement urgent!;8,20 USD;;15,00 USD;;;Bon état;;kit e-prod-pce|kit enleve-poils chiens & chat|approvisionnement urgent!;;;;
;Ivermectin 50ml;Produits vétérinaires;flacon;1;50ml;6;;;Niveau satisfaisant;0,96 USD;;5,00 USD;;;Bon état;;iverm-prod-50ml|ivermectin 50ml|approvisionnement urgent!;;;;
;Ivermectin 10ml;Produits vétérinaires;flacon;1;10ml;5;;;Approvisionnement urgent!;0,65 USD;;2,50 USD;;;;;iverm-prod-10ml|ivermectin 10ml|approvisionnement urgent!;;;;
;Intramamaire;Produits vétérinaires;tube;1;25gr;2;;;Approvisionnement urgent!;0,83 USD;;3,00 USD;;;Bon état;;intra-prod-25gr|intramamaire|approvisionnement urgent!;;;;
;Insecticide;Insecticide agricole;tube;1;250ml;2;;;Approvisionnement urgent!;2,14 USD;;3,00 USD;;;;;insec-inse-250ml|insecticide|approvisionnement urgent!;;;;
;Inkuyo grease;Produits vétérinaires;boite;1;100gr;2;;;Niveau satisfaisant;1,38 USD;;6,00 USD;;;Bon état;;inkuy-prod-100gr|inkuyo grease|approvisionnement urgent!;;;;
;Imperméable;outils aratoires;pce;1;pce;2;;;Approvisionnement urgent!;8,00 USD;;10,00 USD;;;;;imper-outi-pce|impermeable|approvisionnement urgent!;;;;
;Imicarb;Produits vétérinaires;flacon;1;50ml;2;;;Approvisionnement urgent!;7,56 USD;;20,00 USD;;;Bon état;;imica-prod-50ml|imicarb|approvisionnement urgent!;;;;
;Houes;outils aratoires;pce;1;pce;2;;;Approvisionnement urgent!;2,50 USD;;4,50 USD;;;;;houes-outi-pce|houes|approvisionnement urgent!;;;;
;HI-TET 120;Produits vétérinaires;flacon;1;100ml;3;;;Approvisionnement urgent!;4,45 USD;;7,00 USD;;;Bon état;;hi-te-prod-100ml|hi-tet 120|approvisionnement urgent!;;;;
;H2O;Produits vétérinaires;flacon;1;10ml;5;;;Niveau satisfaisant;0,05 USD;;0,11 USD;;;Bon état;;h2o-prod-10ml|h2o|approvisionnement urgent!;;;;
;Herbicide selectif Riz (BUTANIL 70);herbicide;flacon;1;1litre;2;;;Approvisionnement urgent!;8,14 USD;;15,00 USD;;;;;herbi-herb-1litre|herbicide selectif riz (butanil 70)|approvisionnement urgent!;;;;
;Herbicide selectif Mais (2,4D AMINE);herbicide;flacon;1;litre;2;;;Approvisionnement urgent!;4,61 USD;;10,00 USD;;;;;herbi-herb-litre|herbicide selectif mais (2,4d amine)|approvisionnement urgent!;;;;
;Haricot biofortifié 1kg;Semences;sachet;1;kg;5;;;Approvisionnement urgent!;1,70 USD;;2,50 USD;;;;;haric-seme-kg|haricot biofortifie 1kg|approvisionnement urgent!;;;;
;Glyphogan;herbicide;flacon;1;litre;2;;;Approvisionnement urgent!;6,58 USD;;10,00 USD;;;;;glyph-herb-litre|glyphogan|approvisionnement urgent!;;;;
;Gentamycine 5% poudre;Produits vétérinaires;sachet;1;100gr;3;;;Approvisionnement urgent!;4,98 USD;;7,00 USD;;;Bon état;;genta-prod-100gr|gentamycine 5% poudre|approvisionnement urgent!;;;;
;Gentamycine 5%;Produits vétérinaires;flacon;1;100ml;3;;;Niveau satisfaisant;4,30 USD;;10,00 USD;;;Bon état;;genta-prod-100ml|gentamycine 5%|approvisionnement urgent!;;;;
;Gants plastic;Produits vétérinaires;paire;1;..pce;2;;;Approvisionnement urgent!;2,50 USD;;4,00 USD;;;;;gants-prod-..pce|gants plastic|approvisionnement urgent!;;;;
;Gants plastics;Produits vétérinaires;paire;1;paire;2;;;Approvisionnement urgent!;1,00 USD;;1,30 USD;;;;;gants-prod-.pce|gants plastics|approvisionnement urgent!;;;;
;Gants non stérile;Produits vétérinaires;paire;1;pce;2;;;Approvisionnement urgent!;0,27 USD;;0,80 USD;;;;;gants-prod-pce|gants non sterile|approvisionnement urgent!;;;;
;Fumigan bolus;Insecticide agricole;tube;1;20cés;2;;;Approvisionnement urgent!;3,20 USD;;10,00 USD;;;;;fumig-inse-20ces|fumigan bolus|approvisionnement urgent!;;;;
;Fuko-kill;Raticide;boite;1;bte;10;;;Niveau satisfaisant;0,48 USD;;1,50 USD;;;Bon état;;fuko--rati-bte|fuko-kill|approvisionnement urgent!;;;;
;Flash Ball;Produits vétérinaires;pce;1;pce;2;;;Approvisionnement urgent!;6,78 USD;;15,00 USD;;;Bon état;;flash-prod-pce|flash ball|approvisionnement urgent!;;;;
;Epinard locale sachet/10gr original;Semences;sachet;1;original;3;;;Niveau satisfaisant;1,00 USD;;3,00 USD;;;Bon état;;epina-seme-original|epinard locale sachet/10gr original|approvisionnement urgent!;;;;
;Epinard Bet sachet/10gr;Semences;sachet;1;10gr;6;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;;epina-seme-10gr|epinard bet sachet/10gr|approvisionnement urgent!;;;;
;Epinard Bet bte/50gr;Semences;boite;1;50gr;3;;;Approvisionnement urgent!;1,03 USD;;4,00 USD;;;Bon état;;epina-seme-50gr|epinard bet bte/50gr|approvisionnement urgent!;;;;
;Enrofloxacin injectable;Produits vétérinaires;flacon;1;100ml;6;;;Approvisionnement urgent!;2,40 USD;;6,00 USD;;;Bon état;;enrof-prod-100ml|enrofloxacin injectable|approvisionnement urgent!;;;;
;Egg booster 1kg;Produits vétérinaires;sachet;1;kg;6;;;Niveau satisfaisant;0,51 USD;;3,00 USD;;;Bon état;;egg b-prod-kg|egg booster 1kg|approvisionnement urgent!;;;;
;Egg booster bte 100gr;Produits vétérinaires;boite;1;100gr;6;;;Niveau satisfaisant;1,08 USD;;4,00 USD;;;Bon état;;egg b-prod-100gr|egg booster bte 100gr|approvisionnement urgent!;;;;
;Egg booster bte 500gr;Produits vétérinaires;boie;1;500gr;6;;;Approvisionnement urgent!;3,78 USD;;8,00 USD;;;Bon état;;egg b-prod-500gr|egg booster bte 500gr|approvisionnement urgent!;;;;
;Dudu dust;Produits vétérinaires;be;1;bte;10;;;Niveau satisfaisant;0,90 USD;;3,00 USD;;;Bon état;;dudu -prod-bte|dudu dust|approvisionnement urgent!;;;;
;Dudumectin 1litre;Insecticide agricole;flacon;1;1litre;2;;;Approvisionnement urgent!;9,19 USD;;18,00 USD;;;;;dudum-inse-1litre|dudumectin 1litre|approvisionnement urgent!;;;;
;Dudumectin 500ml;Insecticide agricole;flacon;1;500ml;3;;;Approvisionnement urgent!;6,00 USD;;10,00 USD;;;Bon état;;dudum-inse-500ml|dudumectin 500ml|approvisionnement urgent!;;;;
;Dudumectin 100ml;Insecticide agricole;flacon;1;100;6;;;Niveau satisfaisant;1,30 USD;;2,50 USD;;;Bon état;;dudum-inse-100|dudumectin 100ml|approvisionnement urgent!;;;;
;Doxycycline poudre 200mg;Produits vétérinaires;sachet;1;100gr;3;;;Niveau satisfaisant;3,41 USD;;7,00 USD;;;Bon état;;doxyc-prod-100gr|doxycycline poudre 200mg|approvisionnement urgent!;;;;
;Dovenix 100ml;Produits vétérinaires;flacon;1;50ml;3;;;Approvisionnement nécessaire;5,13 USD;;15,00 USD;;;Bon état;;doven-prod-50ml|dovenix 100ml|approvisionnement urgent!;;;;
;Dog shampoo Saint Bernard 250ml;Produits vétérinaires;flacon;1;250ml;2;;;Approvisionnement urgent!;8,00 USD;;12,00 USD;;;;;dog s-prod-250ml|dog shampoo saint bernard 250ml|approvisionnement urgent!;;;;
;Dog shampoo 500ml;Produits vétérinaires;flacon;1;500ml;3;;;Niveau satisfaisant;1,62 USD;;6,00 USD;;;Bon état;;dog s-prod-500ml|dog shampoo 500ml|approvisionnement urgent!;;;;
;Dog shampoo 1litre;Produits vétérinaires;flacon;1;1litre;3;;;Niveau satisfaisant;5,00 USD;;10,00 USD;;;Bon état;;dog s-prod-1litre|dog shampoo 1litre|approvisionnement urgent!;;;;
;Di-Agro rouge 1litre;Engrais foliaires;flacon;1;litre;2;;;Approvisionnement urgent!;18,00 USD;;30,00 USD;;;;;di-ag-engr-litre|di-agro rouge 1litre|approvisionnement urgent!;;;;
;Di-Agro vert 1litre;Engrais foliaires;flacon;1;1litre;2;;;Approvisionnement urgent!;20,00 USD;;30,00 USD;;;;;di-ag-engr-1litre|di-agro vert 1litre|approvisionnement urgent!;;;;
;Colvasone;Produits vétérinaires;flacon;1;50ml;6;;;Approvisionnement urgent!;2,20 USD;;6,00 USD;;;;;colva-prod-50ml|colvasone|approvisionnement urgent!;;;;
;Dexamethasone 50ml;Produits vétérinaires;flacon;1;50ml;6;;;Niveau satisfaisant;1,68 USD;;5,00 USD;;;Bon état;;dexam-prod-50ml|dexamethasone 50ml|approvisionnement urgent!;;;;
;D.A.P sac/50kg;Engrais granulés;sac;1;50kg;2;;;Approvisionnement nécessaire;50,00 USD;;65,00 USD;;;Bon état;;d.a.p-engr-50kg|d.a.p sac/50kg|approvisionnement urgent!;;;;
;D.A.P sachet/11kg;Engrais granulés;sachet;1;kg;5;;;Niveau satisfaisant;1,00 USD;;1,40 USD;;;Bon état;;d.a.p-engr-kg|d.a.p sachet/11kg|approvisionnement urgent!;;;;
;2-4-D Mpunga;Engrais foliaires;flacon;1;litre;2;;;Approvisionnement urgent!;4,61 USD;;10,00 USD;;;;;2-4-d-engr-litre|2-4-d mpunga|approvisionnement urgent!;;;;
;Vet Cypermethrin 100ml;Produits vétérinaires;flacon;1;100ml;3;;;Approvisionnement urgent!;2,46 USD;;6,00 USD;;;;;vet c-prod-100ml|vet cypermethrin 100ml|approvisionnement urgent!;;;;
;Vet Cypermethrin 500ml;Produits vétérinaires;flacon;1;500ml;3;;;Approvisionnement urgent!;9,85 USD;;15,00 USD;;;;;vet c-prod-500ml|vet cypermethrin 500ml|approvisionnement urgent!;;;;
;Vet Cypermethrin 1litre;Produits vétérinaires;flacon;1;1litre;2;;;Niveau satisfaisant;18,72 USD;;35,00 USD;;;Bon état;;vet c-prod-1litre|vet cypermethrin 1litre|approvisionnement urgent!;;;;
;Cypermethrin Agro 5% EC;Insecticide agricole;flacon;1;100ml;5;;;Approvisionnement urgent!;1,30 USD;;2,50 USD;;;;;cyper-inse-100ml|cypermethrin agro 5% ec|approvisionnement urgent!;;;;
;Cypermethrin Agro 5% EC 500ml;Insecticide agricole;flacon;1;500ml;3;;;Approvisionnement urgent!;3,60 USD;;6,00 USD;;;;;cyper-inse-500ml|cypermethrin agro 5% ec 500ml|approvisionnement urgent!;;;;
;Cypermethrin agro 5% EC 1litre;Insecticide agricole;flacon;1;1litre;3;;;Niveau satisfaisant;4,17 USD;;10,00 USD;;;Bon état;;cyper-inse-1litre|cypermethrin agro 5% ec 1litre|approvisionnement urgent!;;;;
;Cruche metalique 10litre;Produits vétérinaires;pce;1;pce;2;;;Approvisionnement urgent!;25,00 USD;;35,00 USD;;;;;cruch-prod-pce|cruche metalique 10litre|approvisionnement urgent!;;;;
;Creoline;Désinfectants;boite;1;litre;2;;;Niveau satisfaisant;5,00 USD;;10,00 USD;;;Bon état;;creol-desi-litre|creoline|approvisionnement urgent!;;;;
;Courgette sachet/10gr;Semences;sachet;1;10gr;5;;;Approvisionnement nécessaire;0,48 USD;;0,80 USD;;;Bon état;;courg-seme-10gr|courgette sachet/10gr|approvisionnement urgent!;;;;
;Courgette F-1 sachet original 10gr;Semences;sachet;1;.sachet;3;;;Approvisionnement urgent!;1,00 USD;;3,00 USD;;;;;courg-seme-.sachet|courgette f-1 sachet original 10gr|approvisionnement urgent!;;;;
;Courge sachet 10gr;Semences;sachet;1;sachet;3;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;;courg-seme-sachet|courge sachet 10gr|approvisionnement urgent!;;;;
